epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.1654,3.62101,0,0.2,3.60652,1.5e-05,1.5e-05,1.5e-05
2,90.0264,3.54272,0,0.26667,3.42277,3.14275e-05,3.14275e-05,3.14275e-05
3,129.965,3.30761,0.06667,0.46667,3.2243,4.67e-05,4.67e-05,4.67e-05
4,160.077,3.14048,0.2,0.53333,3.08993,6.08175e-05,6.08175e-05,6.08175e-05
5,217.328,2.88461,0.46667,0.93333,2.75083,7.378e-05,7.378e-05,7.378e-05
6,262.776,2.61172,0.6,0.93333,2.51432,8.55875e-05,8.55875e-05,8.55875e-05
7,301.972,2.33768,0.66667,1,2.10213,9.624e-05,9.624e-05,9.624e-05
8,348.06,2.08409,0.66667,1,1.91382,0.000105737,0.000105737,0.000105737
9,380.603,1.85142,0.73333,1,1.6493,0.00011408,0.00011408,0.00011408
10,422.847,1.67126,0.8,1,1.42799,0.000121267,0.000121267,0.000121267
11,477.48,1.42178,0.8,1,1.23304,0.0001273,0.0001273,0.0001273
12,540.682,1.24381,0.86667,1,1.0186,0.000132178,0.000132178,0.000132178
13,571.066,1.04289,0.86667,1,0.91921,0.0001359,0.0001359,0.0001359
14,614.198,0.93029,0.86667,1,0.76099,0.000138468,0.000138468,0.000138468
15,641.293,0.82413,0.93333,1,0.64315,0.0001345,0.0001345,0.0001345
16,675.546,0.70913,0.93333,1,0.55561,0.00012625,0.00012625,0.00012625
17,741.008,0.64141,0.93333,1,0.49773,0.000118,0.000118,0.000118
18,807.382,0.56426,1,1,0.45068,0.00010975,0.00010975,0.00010975
19,869.64,0.47675,1,1,0.40988,0.0001015,0.0001015,0.0001015
20,924.777,0.45965,1,1,0.37015,9.325e-05,9.325e-05,9.325e-05
21,990.087,0.38631,1,1,0.35984,8.5e-05,8.5e-05,8.5e-05
22,1051.92,0.34654,1,1,0.30533,7.675e-05,7.675e-05,7.675e-05
23,1102.16,0.37325,1,1,0.26439,6.85e-05,6.85e-05,6.85e-05
24,1123.77,0.28338,1,1,0.26289,6.025e-05,6.025e-05,6.025e-05
25,1141.46,0.27525,1,1,0.2604,5.2e-05,5.2e-05,5.2e-05
26,1159,0.28147,1,1,0.24281,4.375e-05,4.375e-05,4.375e-05
27,1177.33,0.28332,1,1,0.22758,3.55e-05,3.55e-05,3.55e-05
28,1196.77,0.23552,1,1,0.22254,2.725e-05,2.725e-05,2.725e-05
29,1214.56,0.26778,1,1,0.22131,1.9e-05,1.9e-05,1.9e-05
30,1233.36,0.26968,1,1,0.20647,1.075e-05,1.075e-05,1.075e-05
